tic,emp (000),ni M$,sale M$,mkvalt M$,gvkey,datadate,fyear
A,21,327,5139,16101.03,126554,20051031,2005
A,18.7,3307,4973,14524.8,126554,20061031,2006
A,19.4,638,5420,13634.5,126554,20071031,2007
A,19.6,693,5774,7766.5,126554,20081031,2008
A,16.8,-31,4481,8563.7015,126554,20091031,2009
A,18.5,684,5463,12045.8112,126554,20101031,2010
A,18.7,1012,6626,12840.3807,126554,20111031,2011
A,20.5,1153,6858,12469.5633,126554,20121031,2012
A,20.6,724,6782,16867.4972,126554,20131031,2013
A,21.4,504,6981,18516.9205,126554,20141031,2014
A,11.8,401,4038,12536.32,126554,20151031,2015
A,,460,4202,14116.68,126554,20161031,2016
AA,,,,,27638,20111231,2011
AA,,,,,27638,20121231,2012
AA,,,,,27638,20131231,2013
AA,,-256,13147,,27638,20141231,2014
AA,16,-863,11199,,27638,20151231,2015
AAN,7.6,57.993,1124.006,1040.3799,1076,20051231,2005
AAN,8.4,78.635,1319.392,1537.97,1076,20061231,2006
AAN,9.6,80.275,1490.033,1014.935,1076,20071231,2007
AAN,9.6,90.189,1592.608,1389.332,1076,20081231,2008
AAN,10,112.601,1752.787,1463.4506,1076,20091231,2009
AAN,10.4,118.376,1876.847,1632.9739,1076,20101231,2010
AAN,11.2,113.767,2024.049,2018.0752,1076,20111231,2011
AAN,11.9,173.043,2222.588,2141.3616,1076,20121231,2012
AAN,12.6,120.666,2234.631,2144.9358,1076,20131231,2013
AAN,12.4,78.233,2725.239,2215.9582,1076,20141231,2014
AAN,12.7,135.709,3179.756,1625.514,1076,20151231,2015
AAP,42.427,234.725,4264.971,4702.2851,145977,20051231,2005
AAP,43.772,231.318,4616.503,3746.2816,145977,20061231,2006
AAP,44.065,238.317,4844.404,3763.2894,145977,20071231,2007
AAP,47.582,238.038,5142.255,3191.7698,145977,20081231,2008
AAP,49,270.373,5412.623,3789.859,145977,20091231,2009
AAP,51.017,346.053,5925.203,5421.3894,145977,20101231,2010
AAP,52.002,394.682,6170.462,5068.9944,145977,20111231,2011
AAP,53.473,387.67,6205.003,5309.2601,145977,20121231,2012
AAP,54.278,391.758,6493.814,8061.9312,145977,20131231,2013
AAP,73,493.825,9843.861,11639.2267,145977,20141231,2014
AAP,73,473.398,9737.018,11034.4901,145977,20151231,2015
AAT,,,,,185549,20051231,
AAT,,,,,185549,20061231,
AAT,,,,,185549,20071231,
AAT,,-7.017,104.376,,185549,20081231,2008
AAT,,6.444,113.487,,185549,20091231,2009
AAT,0.11,4.379,131.402,,185549,20101231,2010
AAT,0.108,2.917,211.3,805.7148,185549,20111231,2011
AAT,0.114,35.468,235.802,,185549,20121231,2012
AAT,0.116,15.756,255.205,1273.3236,185549,20131231,2013
AAT,0.113,22.13,260.155,,185549,20141231,2014
AAT,0.131,38.677,275.713,1741.3968,185549,20151231,2015
AB,4.312,248.064,275.054,4645.2857,14592,20051231,2005
AB,4.914,324.996,359.469,6887.7072,14592,20061231,2006
AB,5.58,376.152,415.256,6542.837,14592,20071231,2007
AB,4.997,244.726,278.636,1877.836,14592,20081231,2008
AB,4.369,167.189,192.513,2847.9912,14592,20091231,2009
AB,4.256,134.158,162.217,2451.6797,14592,20101231,2010
AB,3.964,-93.268,-65.581,1375.6628,14592,20111231,2011
AB,3.318,51.085,70.807,1833.1654,14592,20121231,2012
