"","symbol","date","CARD.x","DISC.x","HACK.x","INSD.x","PHYS.x","PORT.x","STAT.x","UNKN.x","IS_EFFECTIVE","MATERIAL_WEAKNESS","SIG_DEFICIENCY","IC_OP_TYPE","AUDITOR_FKEY","AUDITOR_AGREES","COMBINED_IC_OP","IC_IS_EFFECTIVE","AUDIT_FEES","NON_AUDIT_FEES","BENEFITS_FEES","IT_FEES","TAX_FEES","AUDIT_RELATED_FEES","OTHER_FEES","CARD.y","DISC.y","HACK.y","INSD.y","PHYS.y","PORT.y","STAT.y","UNKN.y","BRCH"
"1","A",2008,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2","A",2008,0,0,0,0,0,1,0,0,1,0,0,1,1,NA,0,"1",6647000,758000,0,0,503000,252000,3000,0,0,0,0,0,0,0,0,0
"3","A",2008,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"4","A",2008,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"5","A",2008,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"1",6647000,758000,0,0,503000,252000,3000,0,0,0,0,0,0,0,0,0
"6","AAN",2011,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"7","AAN",2011,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"8","AAN",2011,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,"1",1041550,396391,0,0,355891,40500,0,0,0,0,0,0,0,0,0,0
"9","AAN",2011,0,0,0,0,0,0,1,0,1,0,0,1,2,NA,0,"1",1041550,396391,0,0,355891,40500,0,0,0,0,0,0,0,0,0,0
"10","AAN",2011,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"11","AAN",2013,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"12","AAN",2013,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,"1",1372200,616315,0,0,590567,25748,0,0,0,0,0,0,0,0,0,0
"13","AAN",2013,0,1,0,0,0,0,0,0,1,0,0,1,2,NA,0,"1",1372200,616315,0,0,590567,25748,0,0,0,0,0,0,0,0,0,0
"14","AAN",2013,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"15","AAN",2013,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"16","AAP",2008,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"17","AAP",2008,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"18","AAP",2008,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"19","AAP",2016,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,"1",4434000,159000,0,0,20000,139000,0,0,0,0,0,0,0,0,0,0
"20","AAP",2016,0,0,1,0,0,0,0,0,1,0,0,1,3,1,0,"1",4434000,159000,0,0,20000,139000,0,0,0,0,0,0,0,0,0,0
"21","AAP",2016,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"22","AAPL",2010,0,0,1,0,0,0,0,0,1,0,0,1,2,NA,0,"1",6300000,590700,0,0,263900,326800,0,0,0,0,0,0,0,0,0,0
"23","AAPL",2010,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"24","AAPL",2010,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,"1",6300000,590700,0,0,263900,326800,0,0,0,0,0,0,0,0,0,0
"25","AAPL",2010,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"26","AAPL",2010,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
