ticker,date,card,disc,hack,insd,phys,port,stat,unkn,effective_303,mat_weak_303,sig_def_303,auto_1,auditor_agrees_303,effective_404,audit_fee,non_audit_fee,tax_fees
A,2008,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6902000,758000,503000
A,2008,0,0,0,0,0,1,0,0,1,0,0,1,0,1,6902000,758000,503000
A,2008,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6902000,758000,503000
A,2008,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6902000,758000,503000
A,2008,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6902000,758000,503000
AAN,2011,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6902000,758000,503000
AAN,2011,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6902000,758000,503000
AAN,2011,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1082050,396391,355891
AAN,2011,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1082050,396391,355891
AAN,2011,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1082050,396391,355891
AAN,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1082050,396391,355891
AAN,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1397948,616315,590567
AAN,2013,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1397948,616315,590567
AAN,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1397948,616315,590567
AAN,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1397948,616315,590567
AAP,2008,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1397948,616315,590567
AAP,2008,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1397948,616315,590567
AAP,2008,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1397948,616315,590567
AAP,2016,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4573000,159000,20000
AAP,2016,0,0,1,0,0,0,0,0,1,0,0,1,1,1,4573000,159000,20000
AAP,2016,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4573000,159000,20000
AAPL,2010,0,0,1,0,0,0,0,0,1,0,0,1,0,1,6626800,590700,263900
AAPL,2010,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6626800,590700,263900
AAPL,2010,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6626800,590700,263900
AAPL,2010,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6626800,590700,263900
AAPL,2010,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6626800,590700,263900
AAPL,2011,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8030400,600700,266800
AAPL,2011,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8030400,600700,266800
AAPL,2011,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8030400,600700,266800
AAPL,2011,0,0,1,0,0,0,0,0,1,0,0,1,0,1,8030400,600700,266800
AAPL,2011,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8030400,600700,266800
AAPL,2012,0,0,1,0,0,0,0,0,1,0,0,1,0,1,7459300,604100,225300
AAPL,2012,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7459300,604100,225300
AAPL,2012,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7459300,604100,225300
