,symbol,CARD,DISC,HACK,INSD,PHYS,PORT,STAT,UNKN,IS_EFFECTIVE,MATERIAL_WEAKNESS,SIG_DEFICIENCY,IC_IS_EFFECTIVE,AUDIT_FEES,NON_AUDIT_FEES,TAX_FEES,AUDIT_RELATED_FEES,OTHER_FEES
1,A,0,0,0,0,0,1,0,0,10,2,1,21,74429,20301.339,4868.039,14886.3,547
2,AAN,0,1,0,0,0,0,1,0,12,0,1,24,16173.36,8302.335,6808.808,1287.668,205.847
3,AAP,0,0,2,0,0,0,0,0,12,0,1,24,24350,6316,762,3679,1875
4,AAPL,0,0,7,0,0,0,0,0,11,0,1,22,87008.8,12592.6,8667.6,3875,50
5,ABM,0,0,0,0,0,0,1,0,10,1,3,21,56033.15,2364.313,595.153,1374.56,394.6
6,ADBE,0,0,3,0,0,0,0,0,11,0,1,24,38546,9973.235,4852.288,2081.998,3038.963
7,ADP,0,1,1,0,0,1,0,1,11,0,1,22,77978,55883,19648,34488,1747
8,AFL,0,1,0,0,0,2,0,0,12,0,0,24,57158.76,4273.422,62.895,3591.072,504.812
9,AIG,0,0,0,0,0,0,1,0,8,5,2,21,1169800,285800,95400,134700,55700
10,AIQ,0,0,0,0,0,1,0,0,13,2,2,28,11413.593,2701.325,18,2503.525,179.8
11,ALSK,0,0,1,0,0,0,0,0,8,3,1,19,9330.246,575.375,0,324.115,251.26
12,AMD,0,0,0,2,0,0,0,0,12,0,1,24,60515.27,18693.059,8304.515,10246.966,141.578
13,AMED,0,0,1,0,0,0,0,0,12,0,2,24,13847.57,6372.865,3287.799,484.634,2600.431
14,AMP,0,0,0,0,0,1,0,0,10,0,0,20,93118,33181,14735,14681,3765
15,AMTD,0,0,1,0,0,2,0,0,10,1,2,21,34221.404,5560.962,153.546,5239.695,167.721
16,AMZN,0,1,0,0,0,0,0,0,12,0,0,24,68895,5425.5,114.5,5145,166
17,ARW,0,0,0,0,0,2,0,0,11,1,7,23,82006.74,16246.768,10829.173,4417.393,1000.206
18,AWI,0,0,0,0,0,1,0,0,9,0,2,18,40267,17573,10979,6594,0
19,AXP,1,0,2,1,0,0,0,1,12,0,0,24,229217,36029,4071,29179,2779
20,BA,0,0,1,0,0,4,0,0,12,0,1,24,335800,17300,12500,4500,300
21,BAC,1,0,0,0,0,1,0,0,10,1,1,24,811400,278900,168100,106100,4700
22,BBY,0,0,1,0,0,0,0,0,12,0,1,24,42227,21198,2608,18590,0
23,BC,0,0,1,0,0,0,1,0,12,0,1,24,58989.61,7002.74,5610.03,1392.707,0
24,BKS,1,0,0,0,0,0,0,0,10,1,2,21,17217.14,3652.096,1929.653,1425.873,0
25,BLKB,0,0,0,0,0,1,0,0,14,0,6,28,14911.765,1706.258,942.693,750.605,12.96
26,BOH,0,0,1,0,0,0,0,0,12,0,0,24,15220.07,3070.213,635.986,2275.8,158.427
27,BR,0,1,0,0,0,0,0,0,9,0,0,18,34616,22674,2267,20103,304
28,BSX,0,0,1,0,0,0,0,0,12,0,0,24,90116.3,16312,8837,7315,160
29,C,1,4,0,0,0,3,0,1,12,0,0,24,766100,295600,94500,201000,100
30,CAH,0,0,0,0,0,1,0,0,10,0,7,22,93556.29,46006.24,18596.43,26498.708,911.098
31,CAKE,0,0,0,2,0,0,0,0,12,0,0,24,6600.62,1103.168,310.567,0,792.601
32,CAR,0,1,0,0,0,0,0,0,12,0,1,24,119965,126839,81868,44896,75
33,CAT,0,0,0,0,0,1,0,0,52,0,16,104,1343200,611600,208800,141200,261600
