symbol,emp,inc,sales,cap,gvkey,datadate,fyear,date,CARD,DISC,HACK,INSD,PHYS,PORT,STAT,UNKN
A,19.6,693,5774,7766.5,126554,20081031,2008,2008.221311,0,0,0,0,0,1,0,0
A,18.7,1012,6626,12840.3807,126554,20111031,2011,2008.221311,0,0,0,0,0,1,0,0
A,NA,460,4202,14116.68,126554,20161031,2016,2008.221311,0,0,0,0,0,1,0,0
A,19.4,638,5420,13634.5,126554,20071031,2007,2008.221311,0,0,0,0,0,1,0,0
A,11.8,401,4038,12536.32,126554,20151031,2015,2008.221311,0,0,0,0,0,1,0,0
A,21,327,5139,16101.03,126554,20051031,2005,2008.221311,0,0,0,0,0,1,0,0
A,18.5,684,5463,12045.8112,126554,20101031,2010,2008.221311,0,0,0,0,0,1,0,0
A,20.5,1153,6858,12469.5633,126554,20121031,2012,2008.221311,0,0,0,0,0,1,0,0
A,21.4,504,6981,18516.9205,126554,20141031,2014,2008.221311,0,0,0,0,0,1,0,0
A,18.7,3307,4973,14524.8,126554,20061031,2006,2008.221311,0,0,0,0,0,1,0,0
A,20.6,724,6782,16867.4972,126554,20131031,2013,2008.221311,0,0,0,0,0,1,0,0
A,16.8,-31,4481,8563.7015,126554,20091031,2009,2008.221311,0,0,0,0,0,1,0,0
AAN,10,112.601,1752.787,1463.4506,1076,20091231,2009,2011.835616,0,0,0,0,0,0,1,0
AAN,10.4,118.376,1876.847,1632.9739,1076,20101231,2010,2011.835616,0,0,0,0,0,0,1,0
AAN,11.9,173.043,2222.588,2141.3616,1076,20121231,2012,2011.835616,0,0,0,0,0,0,1,0
AAN,9.6,90.189,1592.608,1389.332,1076,20081231,2008,2011.835616,0,0,0,0,0,0,1,0
AAN,8.4,78.635,1319.392,1537.97,1076,20061231,2006,2011.835616,0,0,0,0,0,0,1,0
AAN,11.2,113.767,2024.049,2018.0752,1076,20111231,2011,2011.835616,0,0,0,0,0,0,1,0
AAN,12.7,135.709,3179.756,1625.514,1076,20151231,2015,2011.835616,0,0,0,0,0,0,1,0
AAN,9.6,80.275,1490.033,1014.935,1076,20071231,2007,2011.835616,0,0,0,0,0,0,1,0
AAN,12.6,120.666,2234.631,2144.9358,1076,20131231,2013,2011.835616,0,0,0,0,0,0,1,0
AAN,12.4,78.233,2725.239,2215.9582,1076,20141231,2014,2011.835616,0,0,0,0,0,0,1,0
AAN,7.6,57.993,1124.006,1040.3799,1076,20051231,2005,2011.835616,0,0,0,0,0,0,1,0
ABM,96,64.121,3495.747,1186.9193,1410,20101031,2010,2011.30137,0,0,0,0,0,0,1,0
ABM,73,57.941,2582.266,970.2288,1410,20051031,2005,2011.30137,0,0,0,0,0,0,1,0
ABM,96,68.504,4246.842,1078.3933,1410,20111031,2011,2011.30137,0,0,0,0,0,0,1,0
ABM,120,76.3,4897.8,1593.4104,1410,20151031,2015,2011.30137,0,0,0,0,0,0,1,0
ABM,75,93.205,2712.668,965.8911,1410,20061031,2006,2011.30137,0,0,0,0,0,0,1,0
ABM,91,54.293,3481.823,970.7006,1410,20091031,2009,2011.30137,0,0,0,0,0,0,1,0
ABM,118,75.6,5032.8,1539.2992,1410,20141031,2014,2011.30137,0,0,0,0,0,0,1,0
ABM,110,72.9,4809.281,1526.1998,1410,20131031,2013,2011.30137,0,0,0,0,0,0,1,0
ABM,95,62.582,4300.265,1033.486,1410,20121031,2012,2011.30137,0,0,0,0,0,0,1,0
ABM,77,52.44,2837.811,1176.4469,1410,20071031,2007,2011.30137,0,0,0,0,0,0,1,0
ABM,100,45.434,3623.59,832.2258,1410,20081031,2008,2011.30137,0,0,0,0,0,0,1,0
AFL,7.919,2344,20732,NA,1449,20101231,2010,2006.29589,0,0,0,0,0,1,0,0
AFL,7.919,2344,20732,NA,1449,20101231,2010,2006.638356,0,0,0,0,0,1,0,0
AFL,8.562,1964,22171,20172.5706,1449,20111231,2011,2006.29589,0,0,0,0,0,1,0,0
AFL,8.562,1964,22171,20172.5706,1449,20111231,2011,2006.638356,0,0,0,0,0,1,0,0
AFL,6.97,1483,14363,NA,1449,20051231,2005,2006.29589,0,0,0,0,0,1,0,0
AFL,6.97,1483,14363,NA,1449,20051231,2005,2006.638356,0,0,0,0,0,1,0,0
AFL,9.525,2951,22728,NA,1449,20141231,2014,2006.29589,0,0,0,0,0,1,0,0
AFL,9.525,2951,22728,NA,1449,20141231,2014,2006.638356,0,0,0,0,0,1,0,0
AFL,8.965,2866,25364,NA,1449,20121231,2012,2006.29589,0,0,0,0,0,1,0,0
AFL,8.965,2866,25364,NA,1449,20121231,2012,2006.638356,0,0,0,0,0,1,0,0
AFL,7.411,1483,14616,22657.3,1449,20061231,2006,2006.29589,0,0,0,0,0,1,0,0
AFL,7.411,1483,14616,22657.3,1449,20061231,2006,2006.638356,0,0,0,0,0,1,0,0
AFL,8.057,1497,18237,NA,1449,20091231,2009,2006.29589,0,0,0,0,0,1,0,0
AFL,8.057,1497,18237,NA,1449,20091231,2009,2006.638356,0,0,0,0,0,1,0,0
AFL,7.949,1254,16554,21389.6316,1449,20081231,2008,2006.29589,0,0,0,0,0,1,0,0
AFL,7.949,1254,16554,21389.6316,1449,20081231,2008,2006.638356,0,0,0,0,0,1,0,0
AFL,9.915,2533,20872,25420.362,1449,20151231,2015,2006.29589,0,0,0,0,0,1,0,0
AFL,9.915,2533,20872,25420.362,1449,20151231,2015,2006.638356,0,0,0,0,0,1,0,0
AFL,8.048,1634,15393,NA,1449,20071231,2007,2006.29589,0,0,0,0,0,1,0,0
AFL,8.048,1634,15393,NA,1449,20071231,2007,2006.638356,0,0,0,0,0,1,0,0
AFL,9.141,3158,23939,NA,1449,20131231,2013,2006.29589,0,0,0,0,0,1,0,0
AFL,9.141,3158,23939,NA,1449,20131231,2013,2006.638356,0,0,0,0,0,1,0,0
AIG,66.4,2196,57817,73987.0365,1487,20151231,2015,2006.449315,0,0,0,0,0,0,1,0
AIG,63,7786,76791,NA,1487,20101231,2010,2006.449315,0,0,0,0,0,0,1,0
AIG,116,-99289,8062,NA,1487,20081231,2008,2006.449315,0,0,0,0,0,0,1,0
AIG,64,9085,67375,NA,1487,20131231,2013,2006.449315,0,0,0,0,0,0,1,0
AIG,63,3438,65890,NA,1487,20121231,2012,2006.449315,0,0,0,0,0,0,1,0
AIG,65,7529,63004,77065.6713,1487,20141231,2014,2006.449315,0,0,0,0,0,0,1,0
AIG,97,10477,108340,NA,1487,20051231,2005,2006.449315,0,0,0,0,0,0,1,0
AIG,106,14048,113489,NA,1487,20061231,2006,2006.449315,0,0,0,0,0,0,1,0
AIG,116,6200,110250,NA,1487,20071231,2007,2006.449315,0,0,0,0,0,0,1,0
