"","customer_no","invoice_no","invoice_date","sku","sales_count","sales_return","unit_cost","sales_unit_price","collection_no","collection_date","collection_amount","shipper_no","shipper_date"
"1","c00009","i00007",2020-01-02,"SLNEL",14,0,42,42,"r00001",2020-01-02,588,"s00003",2020-01-04
"2","c00005","i00008",2020-01-02,"JRVPC",15,0,34,68,"r00002",2020-01-02,1020,"s00007",2020-01-10
"3","c00005","i00010",2020-01-03,"QWBPM",15,0,30,90,"r00003",2020-01-03,1350,"s00009",2020-01-12
"4","c00005","i00011",2020-01-03,"SSBIT",13,0,35,105,"r00004",2020-01-03,1365,"s00010",2020-01-13
"5","c00004","i00012",2020-01-04,"ZUBSA",12,0,36,36,"r00005",2020-01-04,432,"s00013",2020-01-14
"6","c00004","i00020",2020-01-07,"GEXDT",18,0,30,90,"r00006",2020-01-07,1620,"s00006",2020-01-09
"7","c00008","i00028",2020-01-10,"GEXDT",11,0,34,68,"r00009",2020-01-10,748,"s00016",2020-01-14
"8","c00007","i00034",2020-01-12,"ETKQW",11,0,33,66,"r00010",2020-01-12,726,"s00117",2020-02-23
"9","c00008","i00045",2020-01-16,"WBOEC",13,0,27,81,"r00011",2020-01-16,1053,"s00027",2020-01-19
"10","c00001","i00053",2020-01-19,"WBOEC",18,0,24,72,"r00012",2020-01-19,1296,"s00055",2020-01-29
"11","c00009","i00055",2020-01-20,"ETKQW",15,0,27,81,"r00013",2020-01-20,1215,"s00043",2020-01-26
"12","c00007","i00059",2020-01-22,"ZUBSA",12,0,27,27,"r00014",2020-01-22,324,"s00056",2020-01-29
"13","c00004","i00064",2020-01-24,"JRVPC",23,0,33,66,"r00017",2020-01-24,1518,"s00047",2020-01-27
"14","c00003","i00068",2020-01-26,"SLNEL",13,0,34,68,"r00019",2020-01-26,884,"s00097",2020-02-14
"15","c00006","i00074",2020-01-28,"WBOEC",11,0,33,66,"r00021",2020-01-28,726,"s00068",2020-02-02
"16","c00007","i00090",2020-02-01,"QWBPM",16,0,30,90,"r00023",2020-02-01,1440,"s00066",2020-02-01
"17","c00005","i00096",2020-02-04,"SLNEL",28,1,36,108,"r00029",2020-02-04,3024,"s00091",2020-02-11
"18","c00007","i00103",2020-02-06,"TQLMI",23,0,24,72,"r00031",2020-02-06,1656,"s00087",2020-02-09
"19","c00008","i00101",2020-02-06,"SLNEL",13,0,35,105,"r00030",2020-02-06,1365,"s00090",2020-02-10
"20","c00008","i00105",2020-02-07,"ZUBSA",14,0,27,81,"r00033",2020-02-07,1134,"s00100",2020-02-14
"21","c00005","i00112",2020-02-10,"TQLMI",15,0,36,36,"r00036",2020-02-10,540,"s00095",2020-02-13
"22","c00005","i00114",2020-02-10,"GEXDT",18,0,33,66,"r00037",2020-02-10,1188,"s00101",2020-02-14
"23","c00007","i00116",2020-02-11,"ETKQW",19,0,36,108,"r00039",2020-02-11,2052,"s00115",2020-02-22
"24","c00009","i00127",2020-02-18,"ZUBSA",18,0,42,42,"r00046",2020-02-18,756,"s00118",2020-02-23
"25","c00005","i00129",2020-02-18,"ETKQW",15,0,27,27,"r00047",2020-02-18,405,"s00297",2020-04-27
"26","c00003","i00134",2020-02-19,"TQLMI",16,0,33,66,"r00049",2020-02-19,1056,"s00128",2020-02-27
"27","c00008","i00136",2020-02-20,"SSBIT",21,0,36,108,"r00050",2020-02-20,2268,"s00121",2020-02-24
"28","c00003","i00144",2020-02-22,"SSBIT",20,0,33,66,"r00054",2020-02-22,1320,"s00146",2020-03-06
"29","c00008","i00145",2020-02-23,"TQLMI",6,0,27,81,"r00055",2020-02-23,486,"s00120",2020-02-23
"30","c00009","i00151",2020-02-24,"SLNEL",9,0,35,105,"r00057",2020-02-24,945,"s00150",2020-03-07
"31","c00005","i00154",2020-02-25,"JQWPP",12,1,33,66,"r00061",2020-02-25,792,"s00143",2020-03-03
"32","c00008","i00153",2020-02-25,"QWBPM",19,0,24,72,"r00060",2020-02-25,1368,"s00174",2020-03-14
"33","c00001","i00155",2020-02-27,"TQLMI",15,0,27,81,"r00064",2020-02-27,1215,"s00137",2020-03-01
"34","c00009","i00160",2020-02-29,"ETKQW",10,0,30,90,"r00065",2020-02-29,900,"s00151",2020-03-07
"35","c00006","i00164",2020-02-29,"QWBPM",16,0,33,66,"r00066",2020-02-29,1056,"s00180",2020-03-16
"36","c00003","i00165",2020-03-01,"GEXDT",16,0,27,81,"r00069",2020-03-01,1296,"s00185",2020-03-18
"37","c00004","i00169",2020-03-03,"GEXDT",14,0,27,27,"r00071",2020-03-03,378,"s00162",2020-03-10
"38","c00007","i00175",2020-03-06,"WBOEC",16,0,27,81,"r00076",2020-03-06,1296,"s00156",2020-03-08
"39","c00003","i00182",2020-03-08,"WBOEC",17,0,36,36,"r00079",2020-03-08,612,"s00170",2020-03-13
"40","c00004","i00187",2020-03-10,"QWBPM",16,0,42,42,"r00082",2020-03-10,672,"s00252",2020-04-10
"41","c00008","i00197",2020-03-13,"GEXDT",14,0,42,42,"r00086",2020-03-13,588,"s00200",2020-03-23
"42","c00003","i00196",2020-03-13,"TQLMI",15,0,36,108,"r00085",2020-03-13,1620,"s00250",2020-04-09
"43","c00007","i00199",2020-03-14,"JRVPC",11,0,27,27,"r00089",2020-03-14,297,"s00182",2020-03-16
"44","c00008","i00207",2020-03-18,"JRVPC",18,0,42,42,"r00095",2020-03-18,756,"s00202",2020-03-24
