"","customer_no","invoice_no","invoice_date","sku","sales_count","cash_not_ar","sales_return","unit_cost","sales_unit_price","sales_extended","collection_amount","collection_date","collection_no","shipper_date","shipper_no"
"1","c00003","i00002",2020-01-01,"ETKQW",15,0,0,36,36,540,540,2020-01-28,"r00020",2020-01-04,"s00002"
"2","c00003","i00001",2020-01-01,"JQWPP",20,0,0,35,105,2100,2100,2020-01-09,"r00007",2020-01-07,"s00005"
"3","c00005","i00005",2020-01-02,"SSBIT",20,0,0,27,81,1620,1620,2020-05-29,"r00267",2020-01-03,"s00001"
"4","c00009","i00007",2020-01-02,"SLNEL",14,1,0,42,42,588,588,2020-01-02,"r00001",2020-01-04,"s00003"
"5","c00005","i00008",2020-01-02,"JRVPC",15,1,0,34,68,1020,1020,2020-01-02,"r00002",2020-01-10,"s00007"
"6","c00009","i00006",2020-01-02,"GEXDT",15,0,0,36,108,1620,1620,2020-01-24,"r00016",2020-01-14,"s00012"
"7","c00007","i00004",2020-01-02,"GEXDT",21,0,0,33,66,1386,1386,2020-01-10,"r00008",2020-01-21,"s00028"
"8","c00007","i00003",2020-01-02,"TQLMI",24,0,0,24,72,1728,1728,2020-02-25,"r00058",2020-01-25,"s00039"
"9","c00005","i00010",2020-01-03,"QWBPM",15,1,0,30,90,1350,1350,2020-01-03,"r00003",2020-01-12,"s00009"
"10","c00005","i00011",2020-01-03,"SSBIT",13,1,0,35,105,1365,1365,2020-01-03,"r00004",2020-01-13,"s00010"
"11","c00009","i00009",2020-01-03,"JQWPP",19,0,1,27,27,513,513,2020-02-15,"r00042",2020-02-22,"s00114"
"12","c00004","i00012",2020-01-04,"ZUBSA",12,1,0,36,36,432,432,2020-01-04,"r00005",2020-01-14,"s00013"
"13","c00003","i00014",2020-01-04,"JQWPP",15,0,0,33,66,990,990,2020-02-09,"r00035",2020-01-28,"s00050"
"14","c00004","i00013",2020-01-04,"GEXDT",12,0,1,24,72,864,864,2020-03-20,"r00102",2020-01-28,"s00051"
